"trackedTime_EST","river","shift","tagID","power","habitat","habitatExtra","position","substrate","substrateExtra","shade","lon","lat","fishNotes","source"
"2024-07-11 18:43:00","BUFFAM","night",56,NA,"Pool","","Center",NA,"Sand,Boulder","Fully shaded",-72.4596133333333,42.3811526666667,"","iPad"
"2024-07-11 18:44:00","BUFFAM","night",62,NA,"Pool","","Right",NA,"Sand,Rock,Boulder","Fully shaded",-72.4596908333333,42.3810983333333,"","iPad"
"2024-07-11 19:12:00","BUFFAM","night",60,NA,"Pool","","Center",NA,"Rock,Boulder","Night",-72.4584955,42.3821423333333,"","iPad"
"2024-07-11 19:19:00","BUFFAM","night",56,NA,"Run","","Right",NA,"Sand,Rock","Night",-72.4596761666667,42.3810148333333,"","iPad"
"2024-07-11 19:25:00","BUFFAM","night",62,NA,"Glide","","Right",NA,"Rock","Night",-72.4596616666667,42.3811468333333,"","iPad"
"2024-07-11 19:26:00","BUFFAM","night",57,NA,"Pool","","Center",NA,"Sand,Rock","Night",-72.4597331666667,42.3811583333333,"","iPad"
"2024-07-11 19:28:00","BUFFAM","night",19,NA,"Pool","","Right",NA,"Rock,Sand","Night",-72.459895,42.381253,"","iPad"
"2024-07-11 19:29:00","BUFFAM","night",18,NA,"Pool","","Right",NA,"Rock,Boulder","Night",-72.4598405,42.3812516666667,"","iPad"
"2024-07-11 19:30:00","BUFFAM","night",14,NA,"Riffle","","Center",NA,"Rock,Boulder","Night",-72.4599793333333,42.3812886666667,"","iPad"
"2024-07-11 19:32:00","HARRIS","night",20,NA,"Pool","","Left",NA,"Rock","Night",-72.4602155,42.38107,"","iPad"
"2024-07-11 20:09:00","BUFFAM","night",60,NA,"Run","","Center",NA,"Boulder,Sand","Night",-72.4585,42.3820476666667,"","iPad"
"2024-07-11 20:15:00","BUFFAM","night",56,NA,"Pool","","Center",NA,"Sand,Rock","Night",-72.4596495,42.3813395,"","iPad"
"2024-07-11 20:20:00","BUFFAM","night",62,NA,"Pool","","Left",NA,"Sand,Pebble","Night",-72.4596338333333,42.3810886666667,"","iPad"
"2024-07-11 20:22:00","BUFFAM","night",57,NA,"Pool","","Center",NA,"Sand,Rock","Night",-72.4596636666667,42.3812778333333,"","iPad"
"2024-07-11 20:26:00","BUFFAM","night",18,NA,"Pool","","Right",NA,"Sand,Granule","Night",-72.4598783333333,42.3813865,"","iPad"
"2024-07-11 20:30:00","BUFFAM","night",14,NA,"Riffle","","Right",NA,"Boulder,Pebble","Night",-72.4599853333333,42.3813815,"","iPad"
"2024-07-11 20:31:00","BUFFAM","night",19,NA,"Riffle","","Right",NA,"Boulder,Pebble","Night",-72.4599041666667,42.3813563333333,"","iPad"
"2024-07-11 20:34:00","HARRIS","night",20,NA,"Riffle","","Left",NA,"Boulder","Night",-72.4601768333333,42.3812703333333,"","iPad"
"2024-07-11 21:11:00","BUFFAM","night",60,NA,"Run","","Right",NA,"Sand,Rock","Night",-72.45853,42.3821365,"","iPad"
"2024-07-11 21:17:00","BUFFAM","night",56,NA,"Pool","","Center",NA,"Rock,Boulder","Night",-72.4596466666667,42.3811325,"","iPad"
"2024-07-11 21:27:00","BUFFAM","night",62,NA,"Pool","","Center",NA,"Sand,Rock","Night",-72.4596911666667,42.3810651666667,"","iPad"
"2024-07-11 21:32:00","BUFFAM","night",57,NA,"Pool","","Left",NA,"Sand,Rock","Night",-72.4597136666667,42.381148,"","iPad"
"2024-07-11 21:38:00","BUFFAM","night",18,NA,"Pool","","Right",NA,"Rock,Boulder","Night",-72.4599501666667,42.3813528333333,"","iPad"
"2024-07-11 21:39:00","BUFFAM","night",14,NA,"Riffle","","Left",NA,"Rock,Boulder","Night",-72.4599456666667,42.3813953333333,"","iPad"
"2024-07-11 21:40:00","BUFFAM","night",19,NA,"Riffle","","Right",NA,"Boulder","Night",-72.4599718333333,42.3813591666667,"","iPad"
"2024-07-11 21:44:00","HARRIS","night",20,NA,"Pool","","Left",NA,"Boulder","Night",-72.4604365,42.381156,"","iPad"
"2024-07-11 22:10:00","BUFFAM","night",62,NA,"Riffle","","Right",NA,"Rock,Boulder,Sand","Night",-72.4585118333333,42.3820848333333,"","iPad"
"2024-07-11 22:16:00","BUFFAM","night",57,NA,"Pool","","Center",NA,"Sand,Rock","",-72.4596755,42.3811576666667,"","iPad"
"2024-07-11 22:18:00","BUFFAM","night",62,NA,"Pool","","Center",NA,"Sand,Rock","Night",-72.4596076666667,42.3814341666667,"","iPad"
"2024-07-11 22:21:00","BUFFAM","night",56,NA,"Pool","","Center",NA,"Sand","Night",-72.4596231666667,42.3811693333333,"","iPad"
"2024-07-11 22:23:00","BUFFAM","night",14,NA,"Pool","","Right",NA,"Boulder","Night",-72.4599235,42.3813476666667,"","iPad"
"2024-07-11 22:24:00","BUFFAM","night",18,NA,"Pool","","Right",NA,"Boulder","Night",-72.4598903333333,42.3812611666667,"","iPad"
"2024-07-11 22:25:00","BUFFAM","night",19,NA,"Riffle","","Center",NA,"Rock,Pebble","Night",-72.4599141666667,42.3813435,"","iPad"
"2024-07-11 22:27:00","HARRIS","night",20,NA,"Riffle","","Left",NA,"Boulder","Night",-72.4604246666667,42.3811805,"","iPad"
"2024-07-12 08:01:00","DRY UPPER","day",55,195,"Pool","Woody_debris","Center",NA,"Mud","Fully shaded",-72.5045266666667,42.667652,"","iPad"
"2024-07-12 08:13:00","DRY UPPER","day",16,175,"Pool","Woody_debris","Center",NA,"Mud","Fully shaded",-72.5045163333333,42.6675785,"Highest signal I could receive after 10 minutes in the area","iPad"
"2024-07-12 08:25:00","DRY UPPER","day",21,207,"Pool","Root_bundle","Right",NA,"Rock","Mostly shaded",-72.5049033333333,42.6671115,"","iPad"
"2024-07-12 08:28:00","DRY UPPER","day",24,204,"Run","","Right",NA,"Rock","Mostly shaded",-72.5049195,42.6671485,"Riffle and run flowing into pool","iPad"
"2024-07-12 08:36:00","DRY UPPER","day",48,196,"Pool","Woody_debris","Center",NA,"Mud","Fully shaded",-72.5048945,42.6667761666667,"","iPad"
"2024-07-12 08:49:00","DRY UPPER","day",49,204,"Run","Woody_debris","Right",NA,"Pebble","Mostly shaded",-72.5039223333333,42.6662051666667,"","iPad"
"2024-07-12 08:51:00","DRY UPPER","day",42,NA,"","","",NA,"","",-72.5039515,42.6660706666667,"Tag found at the bottom of pool","iPad"
"2024-07-12 09:21:00","DRY UPPER","day",49,196,"Pool","Woody_debris","Right",NA,"Mud","Mostly shaded",-72.5040343333333,42.6660711666667,"","iPad"
"2024-07-12 09:28:00","DRY UPPER","day",48,198,"Pool","Woody_debris","Center",NA,"Mud","Mostly shaded",-72.5048703333333,42.666761,"","iPad"
"2024-07-12 09:36:00","DRY UPPER","day",21,208,"Pool","Undercut_bank","Right",NA,"Rock","Fully shaded",-72.504906,42.6671255,"","iPad"
"2024-07-12 09:37:00","DRY UPPER","day",24,NA,"","","",NA,"","",-72.5050268333333,42.6671415,"Found tag at bottom of pool","iPad"
"2024-07-12 09:56:00","DRY UPPER","day",55,185,"Pool","Woody_debris","Center",NA,"Mud","Fully shaded",-72.5045078333333,42.6676506666667,"","iPad"
"2024-07-12 09:57:00","DRY UPPER","day",16,174,"Pool","","Center",NA,"Mud","Fully shaded",-72.5044868333333,42.6676268333333,"Couldn’t get a high read","iPad"
