"trackedTime_EST","radioID","has_matching_receiver"
2024-07-02 14:51:00,"62",TRUE
2024-07-02 14:54:00,"18",TRUE
2024-07-02 14:55:00,"19",TRUE
2024-07-02 14:55:00,"14",TRUE
2024-07-02 14:57:00,"56",TRUE
2024-07-02 15:00:00,"20",TRUE
2024-07-02 16:06:00,"60",TRUE
2024-07-02 16:10:00,"57",TRUE
2024-07-02 16:11:00,"62",TRUE
2024-07-02 16:12:00,"19",TRUE
2024-07-02 16:13:00,"18",TRUE
2024-07-02 16:13:00,"14",TRUE
2024-07-02 16:14:00,"56",TRUE
2024-07-02 16:16:00,"20",TRUE
2024-07-02 17:07:00,"60",TRUE
2024-07-02 17:10:00,"57",TRUE
2024-07-02 17:11:00,"62",TRUE
2024-07-02 17:13:00,"19",TRUE
2024-07-02 17:13:00,"18",TRUE
2024-07-02 17:14:00,"14",TRUE
2024-07-02 17:15:00,"56",TRUE
2024-07-02 17:16:00,"20",TRUE
2024-07-02 18:02:00,"60",TRUE
2024-07-02 18:07:00,"62",TRUE
2024-07-02 18:08:00,"57",TRUE
2024-07-02 18:09:00,"18",TRUE
2024-07-02 18:10:00,"19",TRUE
2024-07-02 18:11:00,"14",TRUE
2024-07-02 18:15:00,"56",TRUE
2024-07-02 18:18:00,"20",TRUE
2024-07-03 03:51:00,"41",TRUE
2024-07-03 04:04:00,"40",TRUE
2024-07-03 04:17:00,"34",TRUE
2024-07-03 04:20:00,"33",TRUE
2024-07-03 04:40:00,"45",TRUE
2024-07-03 04:48:00,"27",TRUE
2024-07-03 04:51:00,"44",TRUE
2024-07-03 05:12:00,"35",TRUE
2024-07-03 05:49:00,"35",TRUE
2024-07-03 06:02:00,"44",TRUE
2024-07-03 06:05:00,"45",TRUE
2024-07-03 06:07:00,"27",TRUE
2024-07-03 06:49:00,"36",TRUE
2024-07-03 07:00:00,"33",TRUE
2024-07-03 07:11:00,"34",TRUE
2024-07-03 07:23:00,"40",TRUE
2024-07-03 07:33:00,"41",TRUE
2024-07-03 08:15:00,"41",TRUE
2024-07-03 08:21:00,"40",TRUE
2024-07-03 08:26:00,"34",TRUE
2024-07-03 08:28:00,"33",TRUE
2024-07-03 08:32:00,"36",TRUE
2024-07-03 08:40:00,"27",TRUE
2024-07-03 08:41:00,"45",TRUE
2024-07-03 08:46:00,"44",TRUE
2024-07-03 13:02:00,"41",TRUE
2024-07-03 13:07:00,"40",TRUE
2024-07-03 13:12:00,"34",TRUE
2024-07-03 13:14:00,"33",TRUE
2024-07-03 13:17:00,"36",TRUE
2024-07-03 13:23:00,"45",TRUE
2024-07-03 13:24:00,"27",TRUE
2024-07-03 13:26:00,"44",TRUE
2024-07-03 14:02:00,"35",TRUE
2024-07-03 14:11:00,"44",TRUE
2024-07-03 14:12:00,"45",TRUE
2024-07-03 14:13:00,"27",TRUE
2024-07-03 14:18:00,"36",TRUE
2024-07-03 14:21:00,"33",TRUE
2024-07-03 14:22:00,"34",TRUE
2024-07-03 14:27:00,"40",TRUE
2024-07-03 14:30:00,"41",TRUE
2024-07-03 15:05:00,"41",TRUE
2024-07-03 15:13:00,"40",TRUE
2024-07-03 15:16:00,"34",TRUE
2024-07-03 15:17:00,"33",TRUE
2024-07-03 15:19:00,"36",TRUE
2024-07-03 15:24:00,"27",TRUE
2024-07-03 15:24:00,"45",TRUE
2024-07-03 15:26:00,"44",TRUE
2024-07-03 15:34:00,"35",TRUE
2024-07-03 16:56:00,"41",TRUE
2024-07-03 17:00:00,"40",TRUE
2024-07-03 17:04:00,"34",TRUE
2024-07-03 17:04:00,"33",TRUE
2024-07-03 17:08:00,"36",TRUE
2024-07-03 17:12:00,"27",TRUE
2024-07-03 17:13:00,"45",TRUE
2024-07-03 17:15:00,"44",TRUE
2024-07-03 17:22:00,"35",TRUE
2024-07-03 17:52:00,"35",TRUE
2024-07-03 18:02:00,"44",TRUE
2024-07-03 18:04:00,"45",TRUE
2024-07-03 18:04:00,"27",TRUE
2024-07-03 18:08:00,"36",TRUE
2024-07-03 13:33:00,"35",TRUE
2024-07-03 18:10:00,"34",TRUE
2024-07-03 18:11:00,"33",TRUE
2024-07-03 18:15:00,"40",TRUE
2024-07-03 18:17:00,"41",FALSE
2024-07-09 07:30:00,"41",TRUE
2024-07-09 07:49:00,"40",TRUE
2024-07-09 07:57:00,"34",TRUE
2024-07-09 08:08:00,"33",TRUE
2024-07-09 08:18:00,"36",TRUE
2024-07-09 08:25:00,"27",TRUE
2024-07-09 08:26:00,"45",TRUE
2024-07-09 08:39:00,"44",TRUE
2024-07-09 08:52:00,"35",TRUE
2024-07-09 09:29:00,"35",TRUE
2024-07-09 09:41:00,"44",TRUE
2024-07-09 09:45:00,"45",TRUE
2024-07-09 09:52:00,"27",TRUE
2024-07-09 09:59:00,"36",TRUE
2024-07-09 10:06:00,"33",TRUE
2024-07-09 10:16:00,"34",FALSE
2024-07-09 10:23:00,"40",TRUE
2024-07-09 10:29:00,"41",TRUE
2024-07-09 11:24:00,"41",TRUE
